player_name,minute,second,start_x,start_y,end_x,end_y
Dejan Lovren,49,40,29.2,71.4,39.1,96
Alberto Moreno,49,42,38.1,93.2,42,69.3
Jordan Henderson,49,44,43,69.4,32.3,75.1
Dejan Lovren,49,46,29.3,72,29.3,52.8
Emre Can,49,51,42.2,45.2,45.4,11.6
Joel Matip,49,54,55.2,9.5,69.5,41.6
Simon Mignolet,50,8,14.2,47.9,16.6,61.5
Dejan Lovren,50,10,19.6,59.9,28.6,63
Emre Can,50,16,58.1,73.6,58.3,88.7
Sadio Mané,50,22,64,78.7,56.4,51.8
Trent Alexander-Arnold,50,39,65.5,0,61.2,6.8
Georginio Wijnaldum,50,40,61.2,6.8,65.1,38
Roberto Firmino Barbosa de Oliveira,50,43,66.3,36.7,62.4,66.3
Dejan Lovren,50,45,62.4,66.3,75.5,89.7
Alberto Moreno,50,50,76.4,84.8,58.4,69.6
Dejan Lovren,50,52,58.2,66.6,73.2,2.9
Trent Alexander-Arnold,50,58,71.3,8.5,85.6,30.9
Dejan Lovren,51,30,28.7,53.9,35.7,63.3
Simon Mignolet,51,53,8.3,47.2,18.5,15.5
Joel Matip,51,58,27.9,17.9,33.6,48.4
Emre Can,52,0,33.7,51,32.4,74.1
Dejan Lovren,52,6,57,81.4,70.8,95.6
Alberto Moreno,52,23,78,100,65.5,65.4
Jordan Henderson,52,30,66.2,63.7,54.9,5
Trent Alexander-Arnold,52,32,47.9,13.7,46.6,27.4
Joel Matip,52,34,46.5,28.3,62.5,4.6
Mohamed Salah,52,36,64.2,5.2,55.3,5.3
Trent Alexander-Arnold,52,38,55,6.1,42.6,24
Joel Matip,52,41,45.1,25.3,44.6,34.5
Jordan Henderson,52,45,45.8,35.4,80.5,92.3
Emre Can,53,45,67.1,78.7,56,55.5
Joel Matip,53,50,54.7,56.4,75.3,49.6
Roberto Firmino Barbosa de Oliveira,53,51,75.3,49.6,89.9,36.6
Simon Mignolet,55,32,14.8,50.3,11.9,79.1
Georginio Wijnaldum,55,41,62.6,30.7,70.7,4.3
Trent Alexander-Arnold,55,50,95.2,0,83.1,12.2
Dejan Lovren,56,25,30.1,59,43.4,68.2
Sadio Mané,56,27,42.4,69.3,46.1,68.1
Roberto Firmino Barbosa de Oliveira,56,28,46.2,67.2,41.1,63.9
Emre Can,56,29,40.9,63.3,45.4,41
Georginio Wijnaldum,56,33,41.9,36.3,33.9,29.5
Trent Alexander-Arnold,56,36,31.4,27,27.4,66.7
Dejan Lovren,56,40,33.7,69.7,44.9,72.1
Emre Can,56,42,44.9,72.1,29.2,73.8
Dejan Lovren,56,48,40.1,80.3,82.9,68.8
Georginio Wijnaldum,58,32,32.6,6.5,63.7,3.8
Mohamed Salah,58,37,64,2.2,59.8,12.3
Georginio Wijnaldum,58,40,61.3,13.7,54.2,1.9
Trent Alexander-Arnold,58,44,46,2.6,19,32.4
Simon Mignolet,58,46,19.4,33.3,29.6,63.4
Dejan Lovren,58,49,28.1,64.8,39.3,66.6
Emre Can,58,52,38.9,67.8,36.7,79.7
Dejan Lovren,58,55,35.2,81.2,34.6,68.2
Emre Can,58,59,32,60.8,18.4,51.2
Simon Mignolet,59,2,18.3,50.9,27.6,51.2
Jordan Henderson,59,4,27.6,51.2,14.7,50.4
Simon Mignolet,59,7,14.3,49.3,27.8,5.9
Joel Matip,59,13,40,2.8,63.3,27.1
Simon Mignolet,59,51,14.4,54.3,35.9,61.1
Emre Can,59,55,30.6,54.3,56.9,7
Jordan Henderson,60,16,80,77.5,74.8,67.6
Sadio Mané,60,18,74.8,67.6,80.4,62
Jordan Henderson,61,20,26.3,65.5,40.7,62.7
Roberto Firmino Barbosa de Oliveira,61,21,40.7,62.7,43.4,57.8
Mohamed Salah,61,38,54.5,36,63.2,62.3
Roberto Firmino Barbosa de Oliveira,61,43,63.1,55.7,73.5,52.4
Mohamed Salah,63,18,81.7,11,70,26.2
Trent Alexander-Arnold,63,21,70.6,27.1,68,43.3
Jordan Henderson,63,23,68,44.3,79.5,80
Trent Alexander-Arnold,64,2,99.5,99.5,95.5,57.2
Georginio Wijnaldum,64,10,69,27.7,84.4,47.2
Georginio Wijnaldum,64,39,69.9,6.2,74.3,5.9
Sadio Mané,64,46,67.5,54.4,59.7,65.1
Roberto Firmino Barbosa de Oliveira,65,30,75.2,62.9,66.2,59.3
Jordan Henderson,65,32,66.2,59.3,81.7,2.8
Mohamed Salah,65,37,78.7,3.8,76,23.3
Georginio Wijnaldum,65,57,21.7,33.7,11.7,39.5
Trent Alexander-Arnold,69,19,99.5,0.5,94.8,42.2
Trent Alexander-Arnold,69,47,58.7,0,35.6,21.2
Joel Matip,69,49,34.5,22.1,28.4,56.3
Dejan Lovren,69,51,28.4,56.3,32.2,75.3
Alberto Moreno,69,52,32.3,76.3,26.9,60.6
Dejan Lovren,69,55,28.6,61.2,29.7,92
Alberto Moreno,69,58,30.1,94.1,25.4,65.7
Dejan Lovren,70,1,25.1,64.3,22.8,54.4
Emre Can,70,6,26.5,51.5,7.4,42.7
Jordan Henderson,70,19,29,27.7,11.5,49.6
Simon Mignolet,70,21,11.5,49.6,21.8,61.1
Dejan Lovren,70,22,21.8,61.1,29.8,55.2
Emre Can,70,24,29.8,55.2,30.8,87.1
Alberto Moreno,70,32,76.9,69.5,82.8,28.5
Jordan Henderson,71,7,39.7,55.4,47.2,53.4
Roberto Firmino Barbosa de Oliveira,71,9,47.9,53.4,48.5,44.9
Sadio Mané,71,10,53.7,43.4,56,53
Roberto Firmino Barbosa de Oliveira,71,11,56,53,64.6,55.5
Dejan Lovren,71,16,41.5,65.5,58.4,73.6
Joel Matip,71,31,29.6,51.8,47.7,38.2
Mohamed Salah,71,32,47.7,38.2,41.9,28.8
Georginio Wijnaldum,71,44,44.9,6.8,44.6,14.6
Jordan Henderson,71,45,44.6,15.2,35.4,7.1
Trent Alexander-Arnold,71,45,35.4,7.1,48,5
Georginio Wijnaldum,71,47,50.2,6.4,60.9,2.2
Trent Alexander-Arnold,72,10,57.7,0,65.7,1.3
Jordan Henderson,73,24,46.8,13.1,59.6,4.3
Mohamed Salah,73,30,77.6,26.7,75.1,39.8
Sadio Mané,73,32,75.1,39.8,78.7,56.1
Joel Matip,75,53,27.4,33.9,41.5,28.8
Georginio Wijnaldum,75,55,41.5,28.8,53.9,18.5
Mohamed Salah,75,56,53.9,18.5,55.2,24.7
Jordan Henderson,76,5,43.5,31.9,40.8,40.4
Emre Can,76,6,40.8,40.4,54,50.3
Sadio Mané,76,12,73.3,39.2,89.5,27
Trent Alexander-Arnold,76,49,27.9,42.8,63,84.8
Emre Can,79,21,18.2,72.1,20.1,61.8
Emre Can,79,53,25.4,82.4,30.6,65.4
Georginio Wijnaldum,79,57,39,31.2,29.7,27.3
Alberto Moreno,80,52,22.1,76.6,29.4,58.7
Simon Mignolet,81,55,5.3,55.5,44.1,79.6
Sadio Mané,81,59,44.1,79.9,45.3,67.8
Sadio Mané,83,17,24.5,75.6,33.6,51.6
Simon Mignolet,83,28,15.2,48.1,34.5,46.1
Georginio Wijnaldum,83,35,35.4,47.6,28.4,33.9
Joel Matip,83,36,28.4,33.9,37.1,9.5
Trent Alexander-Arnold,83,39,38,9.5,46.7,3.2
Mohamed Salah,83,41,45.1,3.2,33.9,8.9
Trent Alexander-Arnold,83,45,34.2,18.3,7.8,46.6
Joel Matip,84,3,35.4,31.3,45.9,31.8
Mohamed Salah,84,9,67.7,1.9,43.2,4.7
Mohamed Salah,84,54,33.6,40.6,76,85
Sadio Mané,85,3,87.2,76,87,54.3
Joel Matip,86,1,23.2,25.6,37.1,7.1
Sadio Mané,86,4,38,6.1,34.7,0.8
Trent Alexander-Arnold,86,26,34.3,0,57,3.2
Dejan Lovren,88,30,26.6,65.5,39,77.5
Trent Alexander-Arnold,88,50,35.7,5.6,28.9,11.6
Simon Mignolet,89,9,10.7,26.8,60.6,34.5
Alberto Moreno,89,26,12.2,86.6,28.1,77.8
Jordan Henderson,89,28,28.1,77.8,44.6,88.6
Alberto Moreno,89,53,35.6,100,62.3,92.4
Alberto Moreno,91,17,18.7,82.3,22.6,76
Divock Origi,94,9,50.2,51,30,53.9
Simon Mignolet,96,55,5.3,54.8,25.6,39.5
Joel Matip,97,11,45.7,39.1,48.6,11.4
Joseph Gomez,97,14,53.4,4.7,71,3.5
James Milner,97,19,80.5,1.9,73.1,4
Joseph Gomez,97,23,73.9,2,85,53.3
Emre Can,97,47,31.9,64.6,40.5,67.3
